Source,Title,Subtitle,Description,Solution,Website,Date
Climate Drift,A Look at the Circular Economy,"The Drop Conference Special: Featuring over 15 companies in the Circular Economy, from plastic recycling to advanced material management",,,https://climatedrift.substack.com/p/a-look-at-the-circular-economy,31-Aug-23
Climate Drift,A Look at Building Companies,The Drop Conference Special,,,https://climatedrift.substack.com/p/a-look-at-building-companies,30-Aug-23
Climate Drift,A Look at Transportation Companies,The Drop Conference Special,,,https://climatedrift.substack.com/p/a-look-at-transportation-companies,29-Aug-23
Climate Drift,Carbon Offsets Explained: Part 3,The Future,,,https://climatedrift.substack.com/p/carbon-offsets-explained-part-3,28-Aug-23
Climate Drift,Carbon Offset Explained - Part 2,A long list of Problems,,,https://climatedrift.substack.com/p/carbon-offset-explained-part-2,25-Aug-23
Climate Drift,Carbon Offsets Explained: Part 1,An origin Story,,,https://climatedrift.substack.com/p/carbon-offsets-explained-part-1,24-Aug-23
Climate Drift,The Guide to the Carbon Removal Hype - Part 3,__ Rocks and Storage ___,,,https://climatedrift.substack.com/p/the-guide-to-the-carbon-removal-hype-cdc,23-Aug-23
Climate Drift,The Guide to the Carbon Removal Hype - Part 2,__ Trees and the Ocean __,,,https://climatedrift.substack.com/p/the-guide-to-the-carbon-removal-hype-b6f,22-Aug-23
Climate Drift,The Guide to the Carbon Removal Hype,Part 1: The Basics,,,https://climatedrift.substack.com/p/the-guide-to-the-carbon-removal-hype,21-Aug-23
Climate Drift,Why Carbon Engineering’s $1 Billion Acquisition is the Best & the Worst for Climate Tech - Part 2,"The good, the bad and the public opinion",,,https://climatedrift.substack.com/p/why-carbon-engineerings-1-billion-d72,18-Aug-23
Climate Drift,Why Carbon Engineering’s $1 Billion Acquisition is the Best & the Worst for Climate Tech,Part 1: Understanding CDR & the Players,,,https://climatedrift.substack.com/p/why-carbon-engineerings-1-billion,17-Aug-23
Climate Drift,Climate Hype Curve: Transportation - Part 3,"Early innovations and peak hype: Electrifying Trucks, Planes and Ships.",,,https://climatedrift.substack.com/p/climate-hype-curve-transportation-0ff,16-Aug-23
Climate Drift,Climate Hype Curve: Transportation - Part 2,From Battery Recycling to Alternative Airplane Fuels,,,https://climatedrift.substack.com/p/climate-hype-curve-transportation-e62,15-Aug-23
Climate Drift,Climate Hype Curve: Transportation - Part 1,Scalable solutions from EV to Rail,,,https://climatedrift.substack.com/p/climate-hype-curve-transportation,14-Aug-23
Climate Drift,The Companies of Residential Solar: Part 2,Here come the Challengers,,,https://climatedrift.substack.com/p/the-companies-of-residential-solar-6a0,11-Aug-23
Climate Drift,The Companies of Residential Solar,Part 1: Spotlight on the Market Leaders,,,https://climatedrift.substack.com/p/the-companies-of-residential-solar,10-Aug-23
Climate Drift,A guide to Residential Solar,How to put solar on every roof,,,https://climatedrift.substack.com/p/a-guide-to-residential-solar,9-Aug-23
Climate Drift,How Solar got cheap,And how we can replicate it,,,https://climatedrift.substack.com/p/how-solar-got-cheap,8-Aug-23
Climate Drift,Beyond the Hype,Dissecting the Climate Hype Cycle,,,https://climatedrift.substack.com/p/beyond-the-hype,7-Aug-23
Climate Drift,10 Essential Books on Climate Solutions,Reviewing our paths to Net Zero,,,https://climatedrift.substack.com/p/top-10-climate-frameworks-to-win,4-Aug-23
Climate Drift,The S-Curve Chronicles,How Climate Tech Gets Adopted,,,https://climatedrift.substack.com/p/the-s-curve-chronicles,3-Aug-23
Climate Drift,Surviving the Four Valleys of Death,Where Climate Tech startups come to die,,,https://climatedrift.substack.com/p/surviving-the-four-valleys-of-death,2-Aug-23
Climate Drift,Technology Readiness Level: From Idea to Proven System,Navigating the Twists and Turns of Technology Readiness Levels with robots __,,,https://climatedrift.substack.com/p/technology-readiness-level-from-idea,1-Aug-23
Climate Drift,Followup Friday - Edition 1,"Diving deeper into Carbon Offsets, Lab Grown Meat, the American Climate Corps and more",,,https://climatedrift.substack.com/p/followup-friday-edition-1,29-Sep-23
Climate Drift,Key Takeaways from IEA's new Net Zero Guide - Part 2,Bad News Everyone!,,,https://climatedrift.substack.com/p/key-takeaways-from-ieas-new-net-zero-406,28-Sep-23
Climate Drift,Key Takeaways from IEA's new Net Zero Guide - Part 1,Good News Everyone!,,,https://climatedrift.substack.com/p/key-takeaways-from-ieas-new-net-zero,27-Sep-23
Climate Drift,How to use Toasters and Bricks to reduce 25% of global emissions - Part 2,Introducing Rondo,,,https://climatedrift.substack.com/p/how-to-use-toasters-and-bricks-to-aaa,26-Sep-23
Climate Drift,How to use Toasters and Bricks to reduce 25% of global emissions - Part 1,The problem of Industrial Heat,,,https://climatedrift.substack.com/p/how-to-use-toasters-and-bricks-to,25-Sep-23
Climate Drift,I want you for the American Climate Corps,Mobilizing Americans to fight Climate Change,,,https://climatedrift.substack.com/p/i-want-you-for-the-american-climate,22-Sep-23
Climate Drift,The Overview of Climate Solutions,"Transportation, Energy and Water",,,https://climatedrift.substack.com/p/the-overview-of-climate-solutions-ef4,21-Sep-23
Climate Drift,The Overview of Climate Solutions,"Food & Agriculture, Carbon Removal & Offsets and Protecting Nature",,,https://climatedrift.substack.com/p/the-overview-of-climate-solutions-579,20-Sep-23
Climate Drift,The Overview of Climate Solutions,"Circular Economy, Finance & Software",,,https://climatedrift.substack.com/p/the-overview-of-climate-solutions-6ba,19-Sep-23
Climate Drift,The Overview of Climate Solutions,"Buildings, Industry and Workforce",,,https://climatedrift.substack.com/p/the-overview-of-climate-solutions,18-Sep-23
Climate Drift,Scaling Up for the Carbon Challenge: Going from Micro to Massive,A guest post by Isabelle Le Guay,,,https://climatedrift.substack.com/p/scaling-up-for-the-carbon-challenge,15-Sep-23
Climate Drift,Confusing Messaging is Costing Your Climate Company,"Climate tech has a marketing problem. Around the world, people are coming together to engage in the fight against climate change, launching countless…",,,https://climatedrift.substack.com/p/confusing-messaging-costing-your-climate-company,14-Sep-23
Climate Drift,A guide to Virtual Power Plants (VPP),And how they might be able to replace fossil fuel plants,,,https://climatedrift.substack.com/p/a-guide-to-virtual-power-plants-vpp,13-Sep-23
Climate Drift,The Rise of Climate Tech Accelerators,The Next Generation of Accelerators,,,https://climatedrift.substack.com/p/the-rise-of-climate-tech-accelerators,12-Sep-23
Climate Drift,Accelerating Climate Tech,A spotlight on Venture Studios,,,https://climatedrift.substack.com/p/accelerating-climate-tech,11-Sep-23
Climate Drift,3 Lessons from Europe’s largest Climate Tech Conference,Lessons learned at The Drop Conference,,,https://climatedrift.substack.com/p/3-lessons-from-europes-largest-climate,8-Sep-23
Climate Drift,Lab-grown Meat is not a Climate Change Solution,"In this guest post, we find that lab-grown meat should not be considered a Climate Change solution. Based on industry-funded studies it will never…",,,https://climatedrift.substack.com/p/lab-grown-meat-is-not-a-climate-solution,7-Sep-23
Climate Drift,The Climate Solutions Map,220+ solutions across 12 areas,,,https://climatedrift.substack.com/p/the-climate-solutions-map,6-Sep-23
Climate Drift,A Look at Carbon Removal,The Drop Conference Special,,,https://climatedrift.substack.com/p/a-look-at-carbon-removal,5-Sep-23
Climate Drift,A Look at Food & Agriculture,The Drop Conference Special,,,https://climatedrift.substack.com/p/a-look-at-food-and-agriculture,4-Sep-23
Climate Drift,A Look at Industry,The Drop Conference Special,,,https://climatedrift.substack.com/p/a-look-at-industry,1-Sep-23
Climate Drift,"Dear Reader, Tell us What You Need",Then we go to work and make it happen,,,https://climatedrift.substack.com/p/dear-reader-tell-us-what-you-need,26-Oct-23
Climate Drift,We need to talk about Mushrooms,Understanding the __ market & future through Smallhold,,,https://climatedrift.substack.com/p/we-need-to-talk-about-mushrooms,24-Oct-23
Climate Drift,We need to talk about rocks,Explaining Carbon Removal through Carbon Mineralisation,,,https://climatedrift.substack.com/p/we-need-to-talk-about-rocks,19-Oct-23
Climate Drift,The Complete Guide to Alternative-Proteins,Part 1 - The Problem & Solutions,,,https://climatedrift.substack.com/p/the-complete-guide-to-alternative,18-Oct-23
Climate Drift,Climate Tech Has a Marketing Problem. Good Storytelling Can Fix It.,How to unleash the power of storytelling for your climate company. Learn how to quickly and clearly communicate what you do and how it can help…,,,https://climatedrift.substack.com/p/climate-tech-storytelling,12-Oct-23
Climate Drift,Climate Drift: 2 Month Review,Time to be grateful & share what’s next,,,https://climatedrift.substack.com/p/climate-drift-2-months-in,2-Oct-23
Climate Tech Distillery,#29 Water Distribution,A big source of water and energy waste,,,https://www.climatetechdistillery.com/p/29-water-distribution,24-Jun-23
Climate Tech Distillery,#28 Regenerative Agriculture,The key to fixing climate change through agriculture,,,https://www.climatetechdistillery.com/p/28-regenerative-agriculture,17-Jun-23
Climate Tech Distillery,#27 Retrofitting,The forgotten part of making buildings green,,,https://www.climatetechdistillery.com/p/27-retrofitting,10-Jun-23
Climate Tech Distillery,#26 Insulation,One of the most cost-effective ways to make buildings more energy efficient.,,,https://www.climatetechdistillery.com/p/26-insulation,6-Jun-23
Climate Tech Distillery,#25 Electric Buses,"A more accessible, scalable and sustainable alternative to electric cars",,,https://www.climatetechdistillery.com/p/25-electric-buses,27-May-23
Climate Tech Distillery,#24 Perovskite,"A cheaper, more efficient and sustainable material for solar cells",,,https://www.climatetechdistillery.com/p/24-perovskite,20-May-23
Climate Tech Distillery,#23 Food Waste,Fixing the world's dumbest issue,,,https://www.climatetechdistillery.com/p/23-food-waste,13-May-23
Climate Tech Distillery,#22 Smart Grids,The green transition requires an updated grid,,,https://www.climatetechdistillery.com/p/22-smart-grids,6-May-23
Climate Tech Distillery,#21 Wetlands,Key for carbon storage and water management,,,https://www.climatetechdistillery.com/p/21-wetlands,29-Apr-23
Climate Tech Distillery,#20 Wildfires,"Using climate tech to prevent them, detect them and stop them",,,https://www.climatetechdistillery.com/p/20-wildfires,22-Apr-23
Climate Tech Distillery,#19 Bioplastics,Solving the huge plastic pollution problem,,,https://www.climatetechdistillery.com/p/19-bioplastics,25-Mar-23
Climate Tech Distillery,#18 Air-Source Heat Pumps,Moving air heat to stay warm or cool,,,https://www.climatetechdistillery.com/p/18-air-source-heat-pumps,18-Mar-23
Climate Tech Distillery,#17 Sustainable Aviation Fuel (SAF),No longer feeling guilty about traveling by plane,,,https://www.climatetechdistillery.com/p/17-sustainable-aviation-fuel-saf,11-Mar-23
Climate Tech Distillery,#16 Hydropower,The most used source of renewable energy,,,https://www.climatetechdistillery.com/p/16-hydropower,4-Mar-23
Climate Tech Distillery,#15 Vertical Farms,Growing food more sustainably,,,https://www.climatetechdistillery.com/p/15-vertical-farms,25-Feb-23
Climate Tech Distillery,#14 Nuclear Fusion,The holy grail of clean energy,,,https://www.climatetechdistillery.com/p/14-nuclear-fusion,18-Feb-23
Climate Tech Distillery,#13 Tidal Power,"A source of accessible, natural and consistent clean energy",,,https://www.climatetechdistillery.com/p/13-tidal-power,11-Feb-23
Climate Tech Distillery,#12 Enhanced Weathering,Accelerating nature's carbon capture process,,,https://www.climatetechdistillery.com/p/12-enhanced-weathering,4-Feb-23
Climate Tech Distillery,#11 Carbon Capture Storage (CCS),Taking emitted CO2 back underground.,,,https://www.climatetechdistillery.com/p/carbon-capture-storage-ccs,28-Jan-23
Climate Tech Distillery,#10 Sustainable Fertilizer,Reducing hunger and pollution at the same time,,,https://www.climatetechdistillery.com/p/10-sustainable-fertilizer,21-Jan-23
Climate Tech Distillery,#09 Geothermal Energy,Using the heat beneath our feet,,,https://www.climatetechdistillery.com/p/09-geothermal-energy,14-Jan-23
Climate Tech Distillery,#08 Green Hydrogen,A really versatile clean fuel that will be key to decarbonize the economy,,,https://www.climatetechdistillery.com/p/green-hydrogen,17-Dec-22
Climate Tech Distillery,#07 Carbon Capture Utilization (CCU),Using CO2 from the air instead of fossil fuels to make products,,,https://www.climatetechdistillery.com/p/07-carbon-capture-utilization-ccu,10-Dec-22
Climate Tech Distillery,#06 Offshore Wind,The untapped potential or harnessing the wind at sea,,,https://www.climatetechdistillery.com/p/05-offshore-wind,3-Dec-22
Climate Tech Distillery,#05 Methane,Responsible for over 25% of global greenhouse gas emissions,,,https://www.climatetechdistillery.com/p/05-methane,26-Nov-22
Climate Tech Distillery,#04 Carbon-Neutral Cement,Decarbonizing the main building material to eliminate 8% of global CO2 emissions,,,https://www.climatetechdistillery.com/p/carbon-neutral-cement,19-Nov-22
Climate Tech Distillery,#03 Green Steel,Decarbonizing an amazing but really polluting material,,,https://www.climatetechdistillery.com/p/03-green-steel,12-Nov-22
Climate Tech Distillery,#02 Agrivoltaics,A double harvest for farmers: Food and solar energy,,,https://www.climatetechdistillery.com/p/02-agrivoltaics,5-Nov-22
Climate Tech Distillery,#01 Direct Air Capture (DAC),One of the fastest growing carbon removal technologies,,,https://www.climatetechdistillery.com/p/01-direct-air-capture-dac,