company-card-desktop href,company-name,company-description,CTL Vertical,metadata-value 2,Confirmed Solution,Confirmed Sector,Gemini Drawdown Solution,Gemini Drawdown Sector,Perplexity AI Solution,Perplexity AI Topic,company-card-logo src
https://www.climatetechlist.com/company/dcbel,dcbel,"Dcbel offers AI-driven sustainable technologies which enable people to leverage solar energy to power their cars, homes, and lifestyles.",Built Environment,Series B,,Buildings,,,Distributed Solar Photovoltaics,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fwww.dcbel.energy&w=640&q=75
https://www.climatetechlist.com/company/infogrid,Infogrid,Infogrid is an AI technology company that automates building management.,Built Environment,Series B,,Buildings,Building Automation Systems,,Building Automation Systems,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Finfogrid.io&w=640&q=75
https://www.climatetechlist.com/company/enverid-systems,enVerid Systems,enVerid provides indoor air quality and HVAC energy-saving technologies for commercial buildings.,Built Environment,Series B,,Buildings,Building Retrofitting,,Building Retrofitting,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.enverid.com%2F&w=640&q=75
https://www.climatetechlist.com/company/audio-analytic,Audio Analytic,Audio Analytic provides AI sound recognition technology that makes consumer technology more intelligent.,Built Environment,Series B,,Buildings,,,,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Faudioanalytic.com&w=640&q=75
https://www.climatetechlist.com/company/breezeway,Breezeway,Breezeway is a property care and services platform designed to reduce the headaches of property management.,Built Environment,Series B,,Buildings,,,Buildings,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fbreezeway.io&w=640&q=75
https://www.climatetechlist.com/company/enerbrain,Enerbrain,"Enerbrain turns wasteful buildings into smarter, healthier & more sustainable ones with an innovative IoT energy retrofit solution.",Built Environment,Series B,,Buildings,Building Retrofitting,,Building Automation Systems,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.enerbrain.com%2F&w=640&q=75
https://www.climatetechlist.com/company/hayden-ai,Hayden Ai,We deliver leading edge technology that powers safer and smarter communities.,Built Environment,Series B,,Buildings,,,Transportation,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fhayden.ai&w=640&q=75
https://www.climatetechlist.com/company/homee,Homee,"The leading InsurTech platform for connecting insurers, policyholders and skilled service providers in a property claim.",Built Environment,Series B,,Buildings,,,Buildings,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fhomee.com&w=640&q=75
https://www.climatetechlist.com/company/neoom-ag,Neoom,neoom is a European Cleantech scale-up founded in Austria.,Built Environment,Series B,,Buildings,,,Electricity,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fneoom.com&w=640&q=75
https://www.climatetechlist.com/company/net2grid,Net2grid,Net2Grid offers real-time energy disaggregation.,Built Environment,Series B,,Buildings,,,,Smart Thermostats,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fnet2grid.com&w=640&q=75
https://www.climatetechlist.com/company/pearlx-infrastructure,PearlX,Pearlx Infrastructure is specialized in digitally connecting global infrastructure assets and offers energy leasing position.,Built Environment,Series B,,Buildings,,,Grid Flexibility,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fpearlx.com%2F&w=640&q=75
https://www.climatetechlist.com/company/smartaccom,SmartAC.com,SmartAC.com is digitizing the HVAC industry to perfect the experience of home comfort.,Built Environment,Series B,,Buildings,Building Automation Systems,,High-Efficiency Heat Pumps,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fsmartac.com&w=640&q=75
https://www.climatetechlist.com/company/ubiquitous-energy,Ubiquitous Energy,"Ubiquitous Energy makes transparent solar technology for windows, electronics, and other applications.",Built Environment,Series B,,Buildings,High-Performance Glass,,Building Integrated Photovoltaics,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fwww.ubiquitous.energy&w=640&q=75
https://www.climatetechlist.com/company/wattwatchers,Wattwatchers,Wattwatchers Digital Energy is part of the Energy Saving Networks Group,Built Environment,Series B,,Buildings,,Electricity,Building Automation Systems,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fwattwatchers.com.au&w=640&q=75
https://www.climatetechlist.com/company/seekops,SeekOps,SeekOps provides end-to-end gas emissions inspection operations to oil and gas customers.,Carbon Accounting/Credits,Series B,,,Methane Leak Management,,Methane Leak Management,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fseekops.com&w=640&q=75
https://www.climatetechlist.com/company/daphne-technology,Daphne Technology,"Daphne Technology is a developer of a sustainable, technically advanced and cost efficient air emissions control system.",Carbon Accounting/Credits,Series B,,,,Industry,Efficient Ocean Shipping,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fwww.daphnetechnology.com&w=640&q=75
https://www.climatetechlist.com/company/circulor,Circulor,Circulor is a blockchain sustainability company that offers traceability-as-a-service and supply chain solutions for manufacturers.,Carbon Accounting/Credits,Series B,,,,,Industry,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fcirculor.com&w=640&q=75
https://www.climatetechlist.com/company/supplyshift,SupplyShift,SupplyShift is a supply chain sustainability platform that offers supply chain solutions for customers and businesses.,Carbon Accounting/Credits,Series B,,,,,Industry,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fsupplyshift.net&w=640&q=75
https://www.climatetechlist.com/company/higg-co,Worldly,Higg Co is an Integrated Software Platform.,Carbon Accounting/Credits,Series B,,,,,Industry,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fhigg.com&w=640&q=75
https://www.climatetechlist.com/company/zeronorth,ZeroNorth,ZeroNorth is a Clean Tech company that is using data connected on a digital platform to support shipping's decarbonisation.,Carbon Accounting/Credits,Series B,,,Efficient Ocean Shipping,,Efficient Ocean Shipping,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fzeronorth.com%2F&w=640&q=75
https://www.climatetechlist.com/company/twelve,Twelve,Twelve is a carbon transformation company that eliminates emissions by turning CO2 into essential products.,Carbon Removal,Series B,,,,Engineered Sinks,Alternative Cement,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fwww.twelve.co&w=640&q=75
https://www.climatetechlist.com/company/prometheus,Prometheus,Prometheus is an oil and gas company.,Carbon Removal,Series B,,,,,Other Energy,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fprometheusfuels.com&w=640&q=75
https://www.climatetechlist.com/company/leap,Leap,Distributed energy resource aggregation software / virtual power plant software.,Clean Energy,Series B,,,Grid Flexibility,,Grid Flexibility,,https://www.climatetechlist.com/_next/image?url=%2Fcompany_logos%2Fleap.jpg&w=640&q=75
https://www.climatetechlist.com/company/span,Span,"Smart electrical panels to enable homes to get clean energy, faster, cheaper, and more easily.",Clean Energy,Series B,,,Distributed Energy Storage,,Grid Flexibility,,https://www.climatetechlist.com/_next/image?url=%2Fcompany_logos%2Fspan.jpg&w=640&q=75
https://www.climatetechlist.com/company/raptor-maps,Raptor Maps,"Raptor Maps is building the integrated operating system for the solar industry, enabling the industry to scale and meet global climate goals.",Clean Energy,Series B,,,Distributed Solar Photovoltaics,,Distributed Solar Photovoltaics,,https://www.climatetechlist.com/_next/image?url=%2Fcompany_logos%2Fraptor-maps.png&w=640&q=75
https://www.climatetechlist.com/company/blocpower,BlocPower,"Software for financing, designing, and planning clean energy building retrofits.",Clean Energy,Series B,,,Building Retrofitting,,Building Retrofitting,,https://www.climatetechlist.com/_next/image?url=%2Fcompany_logos%2Fblocpower.png&w=640&q=75
https://www.climatetechlist.com/company/rondo-energy,Rondo Energy,"Rondo Heat Battery powers industrial processes with renewable electricity, cutting energy costs and eliminating emissions.",Clean Energy,Series B,,,,Industry,Industrial Process Heat,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.rondo.energy%2F&w=640&q=75
https://www.climatetechlist.com/company/nuru,Nuru,Nuru is a renewable and environment company that specializes in the fields of storage micro-grids and solar energy.,Clean Energy,Series B,,,Microgrids,,Microgrids,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fnuru.cd&w=640&q=75
https://www.climatetechlist.com/company/symend,Symend,Symend's digital engagement platform uses behavioral science and data-driven insights to empower customers to resolve past due bills.,Clean Energy,Series B,,,,,Buildings,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fsymend.com&w=640&q=75
https://www.climatetechlist.com/company/zen-ecosystems,Zen Ecosystems,Zen Ecosystems provides intelligent energy management solutions to businesses and consumers.,Clean Energy,Series B,,,Building Automation Systems,,Building Automation Systems,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fzenecosystems.com&w=640&q=75
https://www.climatetechlist.com/company/onenergy,On.Energy,On.Energy is an energy storage developer that offers AI-powered energy management software and in-house analytics for grid-scale projects.,Clean Energy,Series B,,,Utility-Scale Energy Storage,,Grid Flexibility,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fon.energy&w=640&q=75
https://www.climatetechlist.com/company/piclo,Piclo,"Piclo develops software to make electricity grids smart, flexible and sustainable.",Clean Energy,Series B,,,Grid Flexibility,,Grid Flexibility,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fpiclo.energy%2F&w=640&q=75
https://www.climatetechlist.com/company/recurve,Recurve,Recurve is an open-source SaaS platform with tools that help utilities leverage their smart meter data to measure energy usage.,Clean Energy,Series B,,,,Electricity,Building Automation Systems,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fwww.recurve.com&w=640&q=75
https://www.climatetechlist.com/company/ionblox,Ionblox,Ionblox has developed high energy density lithium ion batteries for ground and aerial electric vehicles.,Clean Energy,Series B,,,Electric Cars (batteries),Transportation,Electric Vehicles,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.zenlabsinc.com%2F&w=640&q=75
https://www.climatetechlist.com/company/titan-advanced-energy-solutions,Titan Advanced Energy Solutions,Titan Advanced Energy Solutions is a provider of ultrasound-based battery management solutions,Clean Energy,Series B,,,,,Electric Vehicles,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.titanaes.com%2F&w=640&q=75
https://www.climatetechlist.com/company/metron,METRON,METRON is a foundation stone using artificial intelligence based on Energy Data and ontologies.,Clean Energy,Series B,,,,Electricity,Building Automation Systems,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.metron.energy%2F&w=640&q=75
https://www.climatetechlist.com/company/mpower-technology,mPower Technology,mPower Technology is an innovative solar cell technology startup.,Clean Energy,Series B,,,Distributed Solar Photovoltaics,,Distributed Solar Photovoltaics,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fmpowertech.com&w=640&q=75
https://www.climatetechlist.com/company/asuene,Asuene,Asuene provides renewable power retail services for local production and consumption.,Clean Energy,Series B,,,,Electricity,Distributed Solar Photovoltaics,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fearthene.com&w=640&q=75
https://www.climatetechlist.com/company/beebryte,Beebryte,Predictive HVAC Control Software for Smarter Buildings & Factories,Clean Energy,Series B,,,Building Automation Systems,,Building Automation Systems,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fbeebryte.com&w=640&q=75
https://www.climatetechlist.com/company/cygni-energy,Cygni Energy,Cygni Energy is a manufacturer of energy storage devices for commercial and institutional customers.,Clean Energy,Series B,,,Distributed Energy Storage,,Energy Storage,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fcygni.com&w=640&q=75
https://www.climatetechlist.com/company/depsys,DEPsys,DEPsys is a technology company that delivers solutions enabling traditional low-voltage electricity networks.,Clean Energy,Series B,,,Grid Flexibility,,Energy Distribution,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fdepsys.com&w=640&q=75
https://www.climatetechlist.com/company/esmart-systems,ESmart Systems,ESmart Systems provides AI driven software solutions to the energy industry and service providers.,Clean Energy,Series B,,,,Electricity,Energy Efficiency,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fesmartsystems.com&w=640&q=75
https://www.climatetechlist.com/company/ekwateur,Ekwateur,EkWateur provides an innovative and truly seamless customer experience in a collaborative environment.,Clean Energy,Series B,,,,Electricity,Renewable Energy,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fekwateur.fr&w=640&q=75
https://www.climatetechlist.com/company/energybot,Energybot,Energy.Bot is a simple and transparent energy marketplace that enables businesses to shop for an energy plan for their business.,Clean Energy,Series B,,,,Electricity,Energy Efficiency,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fenergybot.com&w=640&q=75
https://www.climatetechlist.com/company/enlight-mexico,Enlight Mexico,Enlight is a leading solar energy provider for homes and small businesses in Mexico.,Clean Energy,Series B,,,Distributed Solar Photovoltaics,,Solar Power,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fenlight.mx&w=640&q=75
https://www.climatetechlist.com/company/enviria,Enviria,Enviria offers solar-centric projects and energy-as-a-service solutions for businesses.,Clean Energy,Series B,,,Distributed Solar Photovoltaics,,Solar Power,,https://www.climatetechlist.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Ffavicon.4f7bec82.svg&w=640&q=75
https://www.climatetechlist.com/company/gecko-robotics,Gecko Robotics,Gecko Robotics develops and operates robots to perform infrastructure inspections by climbing into confined and dangerous places.,Clean Energy,Series B,,,,,Industrial Efficiency,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fgeckorobotics.com&w=640&q=75
https://www.climatetechlist.com/company/greenbird-integration-technology,Greenbird Integration Technology,"Greenbird provides Utilihive, the Operating System for the DIgital Utility and Energy Cloud.",Clean Energy,Series B,,,,Electricity,Energy Efficiency,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fgreenbird.com&w=640&q=75
https://www.climatetechlist.com/company/hystar,Hystar,Hystar develops polymer electrolyte membrane electrolyzers designed for large-scale green hydrogen production.,Clean Energy,Series B,,,,Industry,Green Hydrogen Production,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fhystar.com%2F&w=640&q=75
https://www.climatetechlist.com/company/modern-hydrogen,Modern Hydrogen,Modern Hydrogen is a breakthrough energy technology company.,Clean Energy,Series B,,,,Industry,Green Hydrogen Production,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fmodernhydrogen.com&w=640&q=75
https://www.climatetechlist.com/company/naked-energy,Naked Energy,Naked Energy has developed an innovative hybrid solar technology generating combined heat and power.,Clean Energy,Series B,,,Solar Hot Water,,Solar Power,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.nakedenergy.co.uk%2F&w=640&q=75
https://www.climatetechlist.com/company/nanograf-corporation,Nanograf Corporation,NanoGraf is a battery development company researching ways to improve battery life and charging time.,Clean Energy,Series B,,,Electric Cars (batteries),Transportation,Energy Storage,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fnanograf.com&w=640&q=75
https://www.climatetechlist.com/company/peaxy,Peaxy,Peaxy helps companies unlock the value of their industrial data.,Clean Energy,Series B,,,,Industry,Industrial Efficiency,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fpeaxy.net&w=640&q=75
https://www.climatetechlist.com/company/redearth-energy-storage,RedEarth Energy Storage,RedEarth Energy Storage is a professional energy storage company that offers systems to suit every client,Clean Energy,Series B,,,Distributed Energy Storage,,Energy Storage,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fredearth.energy&w=640&q=75
https://www.climatetechlist.com/company/rongke-power,Rongke Power,Rongke Energy Storage is a vanadium redox flow battery energy storage system service provider.,Clean Energy,Series B,,,Utility-Scale Energy Storage,,Energy Storage,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Frongkepower.com&w=640&q=75
https://www.climatetechlist.com/company/siteaware,Siteaware,SiteAware solves quality control for construction exterior by transforming physical inspections into digital cloud based automated processes,Clean Energy,Series B,,,,Buildings,Building Efficiency,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fsiteaware.com&w=640&q=75
https://www.climatetechlist.com/company/solar-analytics,Solar Analytics,Solar monitoring company that maximises the value home owners get from their solar power system,Clean Energy,Series B,,,Distributed Solar Photovoltaics,,Solar Power,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fsolaranalytics.com&w=640&q=75
https://www.climatetechlist.com/company/swell-energy,Swell Energy,Swell Energy is a home energy company that provides smart grid and energy management solutions for homeowners and businesses.,Clean Energy,Series B,,,Distributed Energy Storage,,Microgrids,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fwww.swellenergy.com%2F&w=640&q=75
https://www.climatetechlist.com/company/tankfarm,Tankfarm,Tankfarm is a new kind of propane company.,Clean Energy,Series B,,,,,Alternative Fuels,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2F33%20&w=640&q=75
https://www.climatetechlist.com/company/trende,Trende,Trende is an online renewable energy retailer company.,Clean Energy,Series B,,,,Electricity,Renewable Energy,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Ftrende.jp&w=640&q=75
https://www.climatetechlist.com/company/unienergy-technologies,UniEnergy Technologies,UniEnergy Technologies is a produces large-scale energy storage systems,Clean Energy,Series B,,,Utility-Scale Energy Storage,,Energy Storage,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fuetechnologies.com&w=640&q=75
https://www.climatetechlist.com/company/urbanfootprint,UrbanFootprint,"Urban, climate & community resilience data platform providing critical intelligence to institutions investing in the world's infrastructure",Clean Energy,Series B,,,,,Urban Planning,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Furbanfootprint.com%2F&w=640&q=75
https://www.climatetechlist.com/company/verdagy,Verdagy,Verdagy is innovating water electrolysis technology for the very large-scale production of green hydrogen.,Clean Energy,Series B,,,,Industry,Green Hydrogen Production,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fverdagy.com%2F&w=640&q=75
https://www.climatetechlist.com/company/yellow,Yellow,Yellow is an Africa-focused fintech.,Clean Energy,Series B,,,,,Financial Inclusion,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fyellow.africa&w=640&q=75
https://www.climatetechlist.com/company/circ,Circ,"Circ helps industries meet consumer expectations for sustainability without compromises in quality, price, or convenience.",Efficiency & Reduction,Series B,,,,,Recycling,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fcirc.earth%2F&w=640&q=75
https://www.climatetechlist.com/company/numat-technologies,NuMat Technologies,NuMat Technologies builts an Operating System for the commercialization of programmable chemistries.,Efficiency & Reduction,Series B,,,,Industry,Materials Technology,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttps%3A%2F%2Fnumat.com%2F&w=640&q=75
https://www.climatetechlist.com/company/sapphire-technologies,Sapphire Technologies,"Sapphire Technologies develops, manufactures, and sells energy recovery systems for both natural gas and hydrogen industrial applications.",Efficiency & Reduction,Series B,,,,Industry,Energy Efficiency,,https://www.climatetechlist.com/_next/image?url=https%3A%2F%2Flogo.clearbit.com%2Fhttp%3A%2F%2Fsapphiretechnologies.com&w=640&q=75
